any;comarca o Aran;concepte;estat;valor
2015;Baix Llobregat;treballadors de baixa qualificació (%);;12,3
2015;Baix Llobregat;població amb estudis baixos (%);..; 
2015;Baix Llobregat;població jove sense estudis postobligatoris (%);..; 
2015;Baix Llobregat;estrangers de països de renda baixa o mitjana (%);;7,3
2015;Baix Llobregat;renda mitjana per persona (€);;12574
2015;Baix Penedès;població ocupada (%);;53,1
2015;Baix Penedès;treballadors de baixa qualificació (%);;15,5
2015;Baix Penedès;població amb estudis baixos (%);..; 
2015;Baix Penedès;població jove sense estudis postobligatoris (%);..; 
2015;Baix Penedès;estrangers de països de renda baixa o mitjana (%);;10,7
2015;Baix Penedès;renda mitjana per persona (€);;10260
2015;Barcelonès;població ocupada (%);;59,2
2015;Barcelonès;treballadors de baixa qualificació (%);;10,7
2015;Barcelonès;població amb estudis baixos (%);..; 
2015;Barcelonès;població jove sense estudis postobligatoris (%);..; 
2015;Barcelonès;estrangers de països de renda baixa o mitjana (%);;12,1
2015;Barcelonès;renda mitjana per persona (€);;13596
2015;Berguedà;població ocupada (%);;59
2015;Berguedà;treballadors de baixa qualificació (%);;15,5
2015;Berguedà;població amb estudis baixos (%);..; 
2015;Berguedà;població jove sense estudis postobligatoris (%);..; 
2015;Berguedà;estrangers de països de renda baixa o mitjana (%);;6,5
2015;Berguedà;renda mitjana per persona (€);;12258
2015;Cerdanya;població ocupada (%);;62,5
2015;Cerdanya;treballadors de baixa qualificació (%);;14,8
2015;Cerdanya;població amb estudis baixos (%);..; 
2015;Cerdanya;població jove sense estudis postobligatoris (%);..; 
2015;Cerdanya;estrangers de països de renda baixa o mitjana (%);;10,1
2015;Cerdanya;renda mitjana per persona (€);;12121
2015;Conca de Barberà;població ocupada (%);;64,5
2015;Conca de Barberà;treballadors de baixa qualificació (%);;14,5
2015;Conca de Barberà;població amb estudis baixos (%);..; 
2015;Conca de Barberà;població jove sense estudis postobligatoris (%);..; 
2015;Conca de Barberà;estrangers de països de renda baixa o mitjana (%);;10,3
2015;Conca de Barberà;renda mitjana per persona (€);;11598
2015;Garraf;població ocupada (%);;56,5
2015;Garraf;treballadors de baixa qualificació (%);;10,6
2015;Garraf;població amb estudis baixos (%);..; 
2015;Garraf;població jove sense estudis postobligatoris (%);..; 
2015;Garraf;estrangers de països de renda baixa o mitjana (%);;7,2
2015;Garraf;renda mitjana per persona (€);;12460
2015;Garrigues;població ocupada (%);;62,5
2015;Garrigues;treballadors de baixa qualificació (%);;20,7
2015;Garrigues;població amb estudis baixos (%);..; 
2015;Garrigues;població jove sense estudis postobligatoris (%);..; 
2015;Garrigues;estrangers de països de renda baixa o mitjana (%);;11,1
2015;Garrigues;renda mitjana per persona (€);;10321
2015;Garrotxa;població ocupada (%);;66
2015;Garrotxa;treballadors de baixa qualificació (%);;15,3
2015;Garrotxa;població amb estudis baixos (%);..; 
2015;Garrotxa;població jove sense estudis postobligatoris (%);..; 
2015;Garrotxa;estrangers de països de renda baixa o mitjana (%);;11,9
2015;Garrotxa;renda mitjana per persona (€);;12138
2015;Gironès;població ocupada (%);;61,2
2015;Gironès;treballadors de baixa qualificació (%);;14,5
2015;Gironès;població amb estudis baixos (%);..; 
2015;Gironès;població jove sense estudis postobligatoris (%);..; 
2015;Gironès;estrangers de països de renda baixa o mitjana (%);;17,2
2015;Gironès;renda mitjana per persona (€);;11865
2015;Maresme;població ocupada (%);;59,7
2015;Maresme;treballadors de baixa qualificació (%);;11,5
2015;Maresme;població amb estudis baixos (%);..; 
2015;Maresme;població jove sense estudis postobligatoris (%);..; 
2015;Maresme;estrangers de països de renda baixa o mitjana (%);;8,5
2015;Maresme;renda mitjana per persona (€);;12228
2015;Moianès;població ocupada (%);;66,6
2015;Moianès;treballadors de baixa qualificació (%);;15,2
2015;Moianès;població amb estudis baixos (%);..; 
2015;Moianès;població jove sense estudis postobligatoris (%);..; 
2015;Moianès;estrangers de països de renda baixa o mitjana (%);;5,5
2015;Moianès;renda mitjana per persona (€);;11893
2015;Montsià;població ocupada (%);;50,9
2015;Montsià;treballadors de baixa qualificació (%);;19,2
2015;Montsià;població amb estudis baixos (%);..; 
2015;Montsià;població jove sense estudis postobligatoris (%);..; 
2015;Montsià;estrangers de països de renda baixa o mitjana (%);;15,1
2015;Montsià;renda mitjana per persona (€);;9070
2015;Noguera;població ocupada (%);;61,1
2015;Noguera;treballadors de baixa qualificació (%);;19,9
2015;Noguera;població amb estudis baixos (%);..; 
2015;Noguera;població jove sense estudis postobligatoris (%);..; 
2015;Noguera;estrangers de països de renda baixa o mitjana (%);;15,1
2015;Noguera;renda mitjana per persona (€);;10267
2015;Osona;població ocupada (%);;65,6
2015;Osona;treballadors de baixa qualificació (%);;18,4
2015;Osona;població amb estudis baixos (%);..; 
2015;Osona;població jove sense estudis postobligatoris (%);..; 
2015;Osona;estrangers de països de renda baixa o mitjana (%);;11,4
2015;Osona;renda mitjana per persona (€);;12056
2015;Pallars Jussà;població ocupada (%);;58,2
2015;Pallars Jussà;treballadors de baixa qualificació (%);;16,3
2015;Pallars Jussà;població amb estudis baixos (%);..; 
2015;Pallars Jussà;població jove sense estudis postobligatoris (%);..; 
2015;Pallars Jussà;estrangers de països de renda baixa o mitjana (%);;11,9
2015;Pallars Jussà;renda mitjana per persona (€);;11920
2015;Pallars Sobirà;població ocupada (%);;64,3
2015;Pallars Sobirà;treballadors de baixa qualificació (%);;13
2015;Pallars Sobirà;població amb estudis baixos (%);..; 
2015;Pallars Sobirà;població jove sense estudis postobligatoris (%);..; 
2015;Pallars Sobirà;estrangers de països de renda baixa o mitjana (%);;8,9
2015;Pallars Sobirà;renda mitjana per persona (€);;12383
2015;Pla d'Urgell;població ocupada (%);;62,9
2015;Pla d'Urgell;treballadors de baixa qualificació (%);;22,4
2015;Pla d'Urgell;població amb estudis baixos (%);..; 
2015;Pla d'Urgell;població jove sense estudis postobligatoris (%);..; 
2015;Pla d'Urgell;estrangers de països de renda baixa o mitjana (%);;17,3
2015;Pla d'Urgell;renda mitjana per persona (€);;10322
2015;Pla de l'Estany;població ocupada (%);;67,1
2015;Pla de l'Estany;treballadors de baixa qualificació (%);;14,4
2015;Pla de l'Estany;població amb estudis baixos (%);..; 
2015;Pla de l'Estany;població jove sense estudis postobligatoris (%);..; 
2015;Pla de l'Estany;estrangers de països de renda baixa o mitjana (%);;12,6
2015;Pla de l'Estany;renda mitjana per persona (€);;12003
2015;Priorat;població ocupada (%);;62,5
2015;Priorat;treballadors de baixa qualificació (%);;21,4
2015;Priorat;població amb estudis baixos (%);..; 
2015;Priorat;població jove sense estudis postobligatoris (%);..; 
2015;Priorat;estrangers de països de renda baixa o mitjana (%);;9
2015;Priorat;renda mitjana per persona (€);;10687
2015;Ribera d'Ebre;població ocupada (%);;56,9
2015;Ribera d'Ebre;treballadors de baixa qualificació (%);;16,5
2015;Ribera d'Ebre;població amb estudis baixos (%);..; 
2015;Ribera d'Ebre;població jove sense estudis postobligatoris (%);..; 
2015;Ribera d'Ebre;estrangers de països de renda baixa o mitjana (%);;10,5
2015;Ribera d'Ebre;renda mitjana per persona (€);;11415
2015;Ripollès;població ocupada (%);;66,5
2015;Ripollès;treballadors de baixa qualificació (%);;16,9
2015;Ripollès;població amb estudis baixos (%);..; 
2015;Ripollès;població jove sense estudis postobligatoris (%);..; 
2015;Ripollès;estrangers de països de renda baixa o mitjana (%);;6,7
2015;Ripollès;renda mitjana per persona (€);;12808
2015;Segarra;població ocupada (%);;66,2
2015;Segarra;treballadors de baixa qualificació (%);;21,6
2015;Segarra;població amb estudis baixos (%);..; 
2015;Segarra;població jove sense estudis postobligatoris (%);..; 
2015;Segarra;estrangers de països de renda baixa o mitjana (%);;23,7
2015;Segarra;renda mitjana per persona (€);;11135
2015;Segrià;població ocupada (%);;57,4
2015;Segrià;treballadors de baixa qualificació (%);;16,2
2015;Segrià;població amb estudis baixos (%);..; 
2015;Segrià;població jove sense estudis postobligatoris (%);..; 
2015;Segrià;estrangers de països de renda baixa o mitjana (%);;17,2
2015;Segrià;renda mitjana per persona (€);;11063
2015;Selva;població ocupada (%);;56,5
2015;Selva;treballadors de baixa qualificació (%);;15,9
2015;Selva;població amb estudis baixos (%);..; 
2015;Selva;població jove sense estudis postobligatoris (%);..; 
2015;Selva;estrangers de països de renda baixa o mitjana (%);;14,2
2015;Selva;renda mitjana per persona (€);;10362
2015;Solsonès;població ocupada (%);;65
2015;Solsonès;treballadors de baixa qualificació (%);;16,3
2015;Solsonès;població amb estudis baixos (%);..; 
2015;Solsonès;població jove sense estudis postobligatoris (%);..; 
2015;Solsonès;estrangers de països de renda baixa o mitjana (%);;10,4
2015;Solsonès;renda mitjana per persona (€);;10888
2015;Tarragonès;població ocupada (%);;55,6
2015;Tarragonès;treballadors de baixa qualificació (%);;11,5
2015;Tarragonès;població amb estudis baixos (%);..; 
2015;Tarragonès;població jove sense estudis postobligatoris (%);..; 
2015;Tarragonès;estrangers de països de renda baixa o mitjana (%);;14
2015;Tarragonès;renda mitjana per persona (€);;11340
2015;Terra Alta;població ocupada (%);;63,1
2015;Terra Alta;treballadors de baixa qualificació (%);;19,4
2015;Terra Alta;població amb estudis baixos (%);..; 
2015;Terra Alta;població jove sense estudis postobligatoris (%);..; 
2015;Terra Alta;estrangers de països de renda baixa o mitjana (%);;9,6
2015;Terra Alta;renda mitjana per persona (€);;9569
2015;Urgell;població ocupada (%);;60,9
2015;Urgell;treballadors de baixa qualificació (%);;18,8
2015;Urgell;població amb estudis baixos (%);..; 
2015;Urgell;població jove sense estudis postobligatoris (%);..; 
2015;Urgell;estrangers de països de renda baixa o mitjana (%);;16,1
2015;Urgell;renda mitjana per persona (€);;10403
2015;Vallès Occidental;població ocupada (%);;61,5
2015;Vallès Occidental;treballadors de baixa qualificació (%);;11,9
2015;Vallès Occidental;població amb estudis baixos (%);..; 
2015;Vallès Occidental;població jove sense estudis postobligatoris (%);..; 
2015;Vallès Occidental;estrangers de països de renda baixa o mitjana (%);;8,1
2015;Vallès Occidental;renda mitjana per persona (€);;12498
2015;Vallès Oriental;població ocupada (%);;62
2015;Vallès Oriental;treballadors de baixa qualificació (%);;14,5
2015;Vallès Oriental;població amb estudis baixos (%);..; 
2015;Vallès Oriental;població jove sense estudis postobligatoris (%);..; 
2015;Vallès Oriental;estrangers de països de renda baixa o mitjana (%);;7,7
2015;Vallès Oriental;renda mitjana per persona (€);;12122
2016;Alt Camp;població ocupada (%);;63,1
2016;Alt Camp;treballadors de baixa qualificació (%);;15,5
2016;Alt Camp;població amb estudis baixos (%);..; 
2016;Alt Camp;població jove sense estudis postobligatoris (%);..; 
2016;Alt Camp;estrangers de països de renda baixa o mitjana (%);;10,2
2016;Alt Camp;renda mitjana per persona (€);;11543
2016;Alt Empordà;població ocupada (%);;58,6
2016;Alt Empordà;treballadors de baixa qualificació (%);;17,3
2016;Alt Empordà;població amb estudis baixos (%);..; 
2016;Alt Empordà;població jove sense estudis postobligatoris (%);..; 
2016;Alt Empordà;estrangers de països de renda baixa o mitjana (%);;17,4
2016;Alt Empordà;renda mitjana per persona (€);;10567
2016;Alt Penedès;població ocupada (%);;65,2
2016;Alt Penedès;treballadors de baixa qualificació (%);;13,1
2016;Alt Penedès;població amb estudis baixos (%);..; 
2016;Alt Penedès;població jove sense estudis postobligatoris (%);..; 
2016;Alt Penedès;estrangers de països de renda baixa o mitjana (%);;8,9
2016;Alt Penedès;renda mitjana per persona (€);;12212
2016;Alt Urgell;població ocupada (%);;54,1
2016;Alt Urgell;treballadors de baixa qualificació (%);;16,4
2016;Alt Urgell;població amb estudis baixos (%);..; 
2016;Alt Urgell;població jove sense estudis postobligatoris (%);..; 
2016;Alt Urgell;estrangers de països de renda baixa o mitjana (%);;6,3
2016;Alt Urgell;renda mitjana per persona (€);;10340
2016;Alta Ribagorça;població ocupada (%);;61,9
2016;Alta Ribagorça;treballadors de baixa qualificació (%);;13
2016;Alta Ribagorça;població amb estudis baixos (%);..; 
2016;Alta Ribagorça;població jove sense estudis postobligatoris (%);..; 
2016;Alta Ribagorça;estrangers de països de renda baixa o mitjana (%);;10,1
2016;Alta Ribagorça;renda mitjana per persona (€);;12831
2016;Anoia;població ocupada (%);;62
2016;Anoia;treballadors de baixa qualificació (%);;13,4
2016;Anoia;població amb estudis baixos (%);..; 
2016;Anoia;població jove sense estudis postobligatoris (%);..; 
2016;Anoia;estrangers de països de renda baixa o mitjana (%);;6,8
2016;Anoia;renda mitjana per persona (€);;11564
2016;Aran;població ocupada (%);;63,5
2016;Aran;treballadors de baixa qualificació (%);;9,2
2016;Aran;població amb estudis baixos (%);..; 
2016;Aran;població jove sense estudis postobligatoris (%);..; 
2016;Aran;estrangers de països de renda baixa o mitjana (%);;13
2016;Aran;renda mitjana per persona (€);;12924
2016;Bages;població ocupada (%);;62,3
2016;Bages;treballadors de baixa qualificació (%);;15,2
2016;Bages;població amb estudis baixos (%);..; 
2016;Bages;població jove sense estudis postobligatoris (%);..; 
2016;Bages;estrangers de països de renda baixa o mitjana (%);;9,2
2016;Bages;renda mitjana per persona (€);;12302
2016;Baix Camp;població ocupada (%);;59,6
2016;Baix Camp;treballadors de baixa qualificació (%);;13,3
2016;Baix Camp;població amb estudis baixos (%);..; 
2016;Baix Camp;població jove sense estudis postobligatoris (%);..; 
2016;Baix Camp;estrangers de països de renda baixa o mitjana (%);;12,8
2016;Baix Camp;renda mitjana per persona (€);;11413
2016;Baix Ebre;població ocupada (%);;56,3
2016;Baix Ebre;treballadors de baixa qualificació (%);;17,1
2016;Baix Ebre;població amb estudis baixos (%);..; 
2016;Baix Ebre;població jove sense estudis postobligatoris (%);..; 
2016;Baix Ebre;estrangers de països de renda baixa o mitjana (%);;13,4
2016;Baix Ebre;renda mitjana per persona (€);;9946
2016;Baix Empordà;població ocupada (%);;59,2
2016;Baix Empordà;treballadors de baixa qualificació (%);;16,2
2016;Baix Empordà;població amb estudis baixos (%);..; 
2016;Baix Empordà;població jove sense estudis postobligatoris (%);..; 
2016;Baix Empordà;estrangers de països de renda baixa o mitjana (%);;14,8
2016;Baix Empordà;renda mitjana per persona (€);;10897
2016;Baix Llobregat;població ocupada (%);;64,5
2016;Baix Llobregat;treballadors de baixa qualificació (%);;12,2
2016;Baix Llobregat;població amb estudis baixos (%);..; 
2016;Baix Llobregat;població jove sense estudis postobligatoris (%);..; 
2016;Baix Llobregat;estrangers de països de renda baixa o mitjana (%);;7,2
2016;Baix Llobregat;renda mitjana per persona (€);;12989
2016;Baix Penedès;població ocupada (%);;55,9
2016;Baix Penedès;treballadors de baixa qualificació (%);;15,6
2016;Baix Penedès;població amb estudis baixos (%);..; 
2016;Baix Penedès;població jove sense estudis postobligatoris (%);..; 
2016;Baix Penedès;estrangers de països de renda baixa o mitjana (%);;10,6
2016;Baix Penedès;renda mitjana per persona (€);;10559
2016;Barcelonès;població ocupada (%);;61
2016;Barcelonès;treballadors de baixa qualificació (%);;10,6
2016;Barcelonès;població amb estudis baixos (%);..; 
2016;Barcelonès;població jove sense estudis postobligatoris (%);..; 
2016;Barcelonès;estrangers de països de renda baixa o mitjana (%);;12,2
2016;Barcelonès;renda mitjana per persona (€);;13940
2016;Berguedà;població ocupada (%);;61,2
2016;Berguedà;treballadors de baixa qualificació (%);;15,3
2016;Berguedà;població amb estudis baixos (%);..; 
2016;Berguedà;població jove sense estudis postobligatoris (%);..; 
2016;Berguedà;estrangers de països de renda baixa o mitjana (%);;6,4
2016;Berguedà;renda mitjana per persona (€);;12491
2016;Cerdanya;població ocupada (%);;64,5
2016;Cerdanya;treballadors de baixa qualificació (%);;14,9
2016;Cerdanya;població amb estudis baixos (%);..; 
2016;Cerdanya;població jove sense estudis postobligatoris (%);..; 
2016;Cerdanya;estrangers de països de renda baixa o mitjana (%);;9,9
2016;Cerdanya;renda mitjana per persona (€);;12441
2016;Conca de Barberà;població ocupada (%);;67,1
2016;Conca de Barberà;treballadors de baixa qualificació (%);;14,8
2016;Conca de Barberà;població amb estudis baixos (%);..; 
2016;Conca de Barberà;població jove sense estudis postobligatoris (%);..; 
2016;Conca de Barberà;estrangers de països de renda baixa o mitjana (%);;9,9
2016;Conca de Barberà;renda mitjana per persona (€);;11823
2016;Garraf;població ocupada (%);;58,8
2016;Garraf;treballadors de baixa qualificació (%);;10,7
2016;Garraf;població amb estudis baixos (%);..; 
2016;Garraf;població jove sense estudis postobligatoris (%);..; 
2016;Garraf;estrangers de països de renda baixa o mitjana (%);;7,3
2016;Garraf;renda mitjana per persona (€);;12772
2016;Garrigues;població ocupada (%);;64,4
2016;Garrigues;treballadors de baixa qualificació (%);;21,3
2016;Garrigues;població amb estudis baixos (%);..; 
2016;Garrigues;població jove sense estudis postobligatoris (%);..; 
2016;Garrigues;estrangers de països de renda baixa o mitjana (%);;11,2
2016;Garrigues;renda mitjana per persona (€);;10473
2016;Garrotxa;població ocupada (%);;67,7
2016;Garrotxa;treballadors de baixa qualificació (%);;15,7
2016;Garrotxa;població amb estudis baixos (%);..; 
2016;Garrotxa;població jove sense estudis postobligatoris (%);..; 
2016;Garrotxa;estrangers de països de renda baixa o mitjana (%);;11,9
2016;Garrotxa;renda mitjana per persona (€);;12437
2016;Gironès;població ocupada (%);;63,1
2016;Gironès;treballadors de baixa qualificació (%);;14,7
2016;Gironès;població amb estudis baixos (%);..; 
2016;Gironès;població jove sense estudis postobligatoris (%);..; 
2016;Gironès;estrangers de països de renda baixa o mitjana (%);;17,1
2016;Gironès;renda mitjana per persona (€);;12274
2016;Maresme;població ocupada (%);;61,6
2016;Maresme;treballadors de baixa qualificació (%);;11,5
2016;Maresme;població amb estudis baixos (%);..; 
2016;Maresme;població jove sense estudis postobligatoris (%);..; 
2016;Maresme;estrangers de països de renda baixa o mitjana (%);;8,5
2016;Maresme;renda mitjana per persona (€);;12653
2016;Moianès;població ocupada (%);;68,4
2016;Moianès;treballadors de baixa qualificació (%);;15,1
2016;Moianès;població amb estudis baixos (%);..; 
2016;Moianès;població jove sense estudis postobligatoris (%);..; 
2016;Moianès;estrangers de països de renda baixa o mitjana (%);;5,6
2016;Moianès;renda mitjana per persona (€);;12466
2016;Montsià;població ocupada (%);;53,2
2016;Montsià;treballadors de baixa qualificació (%);;18,6
2016;Montsià;població amb estudis baixos (%);..; 
2016;Montsià;població jove sense estudis postobligatoris (%);..; 
2016;Montsià;estrangers de països de renda baixa o mitjana (%);;14,2
2016;Montsià;renda mitjana per persona (€);;9299
2016;Noguera;població ocupada (%);;63
2016;Noguera;treballadors de baixa qualificació (%);;20,2
2016;Noguera;població amb estudis baixos (%);..; 
2016;Noguera;població jove sense estudis postobligatoris (%);..; 
2016;Noguera;estrangers de països de renda baixa o mitjana (%);;15,2
2016;Noguera;renda mitjana per persona (€);;10638
2016;Osona;població ocupada (%);;67,2
2016;Osona;treballadors de baixa qualificació (%);;18
2016;Osona;població amb estudis baixos (%);..; 
2016;Osona;població jove sense estudis postobligatoris (%);..; 
2016;Osona;estrangers de països de renda baixa o mitjana (%);;11,9
2016;Osona;renda mitjana per persona (€);;12554
2016;Pallars Jussà;població ocupada (%);;58,8
2016;Pallars Jussà;treballadors de baixa qualificació (%);;16,6
2016;Pallars Jussà;població amb estudis baixos (%);..; 
2016;Pallars Jussà;població jove sense estudis postobligatoris (%);..; 
2016;Pallars Jussà;estrangers de països de renda baixa o mitjana (%);;11,2
2016;Pallars Jussà;renda mitjana per persona (€);;12117
2016;Pallars Sobirà;població ocupada (%);;66,8
2016;Pallars Sobirà;treballadors de baixa qualificació (%);;13,2
2016;Pallars Sobirà;població amb estudis baixos (%);..; 
2016;Pallars Sobirà;població jove sense estudis postobligatoris (%);..; 
2016;Pallars Sobirà;estrangers de països de renda baixa o mitjana (%);;8,4
2016;Pallars Sobirà;renda mitjana per persona (€);;12888
2016;Pla d'Urgell;població ocupada (%);;65,2
2016;Pla d'Urgell;treballadors de baixa qualificació (%);;22,4
2016;Pla d'Urgell;població amb estudis baixos (%);..; 
2016;Pla d'Urgell;població jove sense estudis postobligatoris (%);..; 
2016;Pla d'Urgell;estrangers de països de renda baixa o mitjana (%);;16,8
2016;Pla d'Urgell;renda mitjana per persona (€);;10521
2016;Pla de l'Estany;població ocupada (%);;69,4
2016;Pla de l'Estany;treballadors de baixa qualificació (%);;14,5
2016;Pla de l'Estany;població amb estudis baixos (%);..; 
2016;Pla de l'Estany;població jove sense estudis postobligatoris (%);..; 
2016;Pla de l'Estany;estrangers de països de renda baixa o mitjana (%);;12,4
2016;Pla de l'Estany;renda mitjana per persona (€);;12330
2016;Priorat;població ocupada (%);;64,8
2016;Priorat;treballadors de baixa qualificació (%);;21,5
2016;Priorat;població amb estudis baixos (%);..; 
2016;Priorat;població jove sense estudis postobligatoris (%);..; 
2016;Priorat;estrangers de països de renda baixa o mitjana (%);;8,8
2016;Priorat;renda mitjana per persona (€);;10962
2016;Ribera d'Ebre;població ocupada (%);;58,3
2016;Ribera d'Ebre;treballadors de baixa qualificació (%);;15,7
2016;Ribera d'Ebre;població amb estudis baixos (%);..; 
2016;Ribera d'Ebre;població jove sense estudis postobligatoris (%);..; 
2016;Ribera d'Ebre;estrangers de països de renda baixa o mitjana (%);;10,6
2016;Ribera d'Ebre;renda mitjana per persona (€);;11617
2016;Ripollès;població ocupada (%);;68,3
2016;Ripollès;treballadors de baixa qualificació (%);;17,8
2016;Ripollès;població amb estudis baixos (%);..; 
2016;Ripollès;població jove sense estudis postobligatoris (%);..; 
2016;Ripollès;estrangers de països de renda baixa o mitjana (%);;6,9
2016;Ripollès;renda mitjana per persona (€);;13069
2016;Segarra;població ocupada (%);;67,5
2016;Segarra;treballadors de baixa qualificació (%);;19,2
2016;Segarra;població amb estudis baixos (%);..; 
2016;Segarra;població jove sense estudis postobligatoris (%);..; 
2016;Segarra;estrangers de països de renda baixa o mitjana (%);;24,2
2016;Segarra;renda mitjana per persona (€);;11424
2016;Segrià;població ocupada (%);;59,3
2016;Segrià;treballadors de baixa qualificació (%);;16,3
2016;Segrià;població amb estudis baixos (%);..; 
2016;Segrià;població jove sense estudis postobligatoris (%);..; 
2016;Segrià;estrangers de països de renda baixa o mitjana (%);;17
2016;Segrià;renda mitjana per persona (€);;11371
2016;Selva;població ocupada (%);;59,1
2016;Selva;treballadors de baixa qualificació (%);;16,1
2016;Selva;població amb estudis baixos (%);..; 
2016;Selva;població jove sense estudis postobligatoris (%);..; 
2016;Selva;estrangers de països de renda baixa o mitjana (%);;14,2
2016;Selva;renda mitjana per persona (€);;10650
2016;Solsonès;població ocupada (%);;67,6
2016;Solsonès;treballadors de baixa qualificació (%);;17,2
2016;Solsonès;població amb estudis baixos (%);..; 
2016;Solsonès;població jove sense estudis postobligatoris (%);..; 
2016;Solsonès;estrangers de països de renda baixa o mitjana (%);;10
2016;Solsonès;renda mitjana per persona (€);;11206
2016;Tarragonès;població ocupada (%);;58
2016;Tarragonès;treballadors de baixa qualificació (%);;11,6
2016;Tarragonès;població amb estudis baixos (%);..; 
2016;Tarragonès;població jove sense estudis postobligatoris (%);..; 
2016;Tarragonès;estrangers de països de renda baixa o mitjana (%);;13,7
2016;Tarragonès;renda mitjana per persona (€);;11856
2016;Terra Alta;població ocupada (%);;64,6
2016;Terra Alta;treballadors de baixa qualificació (%);;18,6
2016;Terra Alta;població amb estudis baixos (%);..; 
2016;Terra Alta;població jove sense estudis postobligatoris (%);..; 
2016;Terra Alta;estrangers de països de renda baixa o mitjana (%);;9,7
2016;Terra Alta;renda mitjana per persona (€);;9707
2016;Urgell;població ocupada (%);;63
2016;Urgell;treballadors de baixa qualificació (%);;18,7
2016;Urgell;població amb estudis baixos (%);..; 
2016;Urgell;població jove sense estudis postobligatoris (%);..; 
2016;Urgell;estrangers de països de renda baixa o mitjana (%);;16,2
2016;Urgell;renda mitjana per persona (€);;10717
2016;Vallès Occidental;població ocupada (%);;63,7
2016;Vallès Occidental;treballadors de baixa qualificació (%);;12
